phi,Re,"Cd,meas"
0.64,0.133,341.015
0.596,0.1527,269.229
0.615,0.1564,359.094
0.798,0.1403,626.735
0.741,0.1833,363.576
0.724,0.1981,339.835
0.708,0.2205,296.251
0.688,0.2271,295.779
0.661,0.2504,248.887
0.829,0.2756,250.917
0.819,0.2969,227.723
0.774,0.3849,124.39
0.765,0.4018,120.516
0.747,0.4291,106.768
0.733,0.4518,98.681
0.726,0.4744,94.131
0.719,0.4798,96.895
0.779,0.5626,73.886
0.777,0.566,77.63
0.749,0.6335,57.318
0.742,0.6622,54.234
0.728,0.7023,47.772
0.709,0.7451,39.921
0.827,0.959,23.874
0.59,42.79,2.16
0.78,73.91,1.51
0.63,82.87,1.88
0.73,1096.19,0.71
0.62,55.54,3.7
1,453.17,0.86
0.77,59.4,2.2
0.72,604.67,0.66
1,101.961,2.328
0.94,52.941,1.57
0.97,167.647,1.449
0.96,1610.588,0.628
0.96,1342.059,0.671
0.73,358.627,1.165
